Player,Tm,FG%
Jaden Ivey,DET,0.416
Frank Jackson,UTA,0
Isaiah Jackson,IND,0.563
Jaren Jackson Jr.,MEM,0.506
Justin Jackson,BOS,0.259
Quenton Jackson,WAS,0.452
Reggie Jackson,TOT,0.411
Reggie Jackson,LAC,0.418
Reggie Jackson,DEN,0.383
LeBron James,LAL,0.5
Ty Jerome,GSW,0.488
Isaiah Joe,OKC,0.441
Alize Johnson,SAS,0.5
Cameron Johnson,TOT,0.47
Cameron Johnson,PHO,0.474
Cameron Johnson,BRK,0.468
Jalen Johnson,ATL,0.491
James Johnson,IND,0.449
Keldon Johnson,SAS,0.452
Keon Johnson,POR,0.376
Stanley Johnson,SAS,0.533
Nikola Jokić,DEN,0.632
Carlik Jones,CHI,0.4
Damian Jones,TOT,0.64
Damian Jones,LAL,0.541
Damian Jones,UTA,0.714
Derrick Jones Jr.,CHI,0.5
Herbert Jones,NOP,0.469
Kai Jones,CHO,0.558
Tre Jones,SAS,0.459
Tyus Jones,MEM,0.438
DeAndre Jordan,DEN,0.765
Cory Joseph,DET,0.427
Nikola Jović,MIA,0.406
Johnny Juzang,UTA,0.337
Mfiondu Kabengele,BOS,0.286
Frank Kaminsky,TOT,0.492
Frank Kaminsky,ATL,0.568
Frank Kaminsky,HOU,0.316
Trevor Keels,NYK,0.25
Luke Kennard,TOT,0.492
Luke Kennard,LAC,0.464
Luke Kennard,MEM,0.526
Walker Kessler,UTA,0.72
Braxton Key,DET,1
Louis King,PHI,0.615
Corey Kispert,WAS,0.497
Maxi Kleber,DAL,0.456
Nathan Knight,MIN,0.568
Kevin Knox,TOT,0.458
Kevin Knox,DET,0.469
Kevin Knox,POR,0.444
Christian Koloko,TOR,0.48
John Konchar,MEM,0.431
Furkan Korkmaz,PHI,0.432
Luke Kornet,BOS,0.665
Vit Krejci,ATL,0.405
Jonathan Kuminga,GSW,0.525
Kyle Kuzma,WAS,0.448
Anthony Lamb,GSW,0.471
Jock Landale,PHO,0.528
Romeo Langford,SAS,0.467
Jake LaRavia,MEM,0.389
Zach LaVine,CHI,0.485
A.J. Lawson,TOT,0.5
A.J. Lawson,MIN,1
A.J. Lawson,DAL,0.488
Damion Lee,PHO,0.442
Saben Lee,TOT,0.405
Saben Lee,PHI,0.75
Saben Lee,PHO,0.393
Alex Len,SAC,0.533
Kawhi Leonard,LAC,0.512
Meyers Leonard,MIL,0.483
Caris LeVert,CLE,0.431
Kira Lewis Jr.,NOP,0.455
Damian Lillard,POR,0.463
Nassir Little,POR,0.442
Isaiah Livers,DET,0.417
Kenneth Lofton Jr.,MEM,0.527
Kevon Looney,GSW,0.63
Brook Lopez,MIL,0.531
Robin Lopez,CLE,0.64
Kevin Love,TOT,0.389
Kevin Love,CLE,0.389
Kevin Love,MIA,0.388
Kyle Lowry,MIA,0.404
Trey Lyles,SAC,0.458
Théo Maledon,CHO,0.402
Sandro Mamukelashvili,TOT,0.422
Sandro Mamukelashvili,MIL,0.328
Sandro Mamukelashvili,SAS,0.453
Terance Mann,LAC,0.519
Tre Mann,OKC,0.393
Boban Marjanović,HOU,0.683
Lauri Markkanen,UTA,0.499
